name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lagos,01/01/2023,95,69.4,80.4,92.7,69.4,79.9,58.5,50.2,0,0,0,,0,0,13.2,11.2,44.8,1011.8,35.2,3.2,265.5,22.9,9,10,2023-01-01T06:57:18,2023-01-01T18:42:34,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999,VRJT5"
Lagos,02/01/2023,95,66.2,80.3,93.2,66.2,79.6,58.8,52.2,0,0,0,,0,0,18.3,16.1,18.9,1011.6,40.4,2.6,252.9,21.8,9,10,2023-01-02T06:57:43,2023-01-02T18:43:05,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,03/01/2023,93.2,69.6,80.7,91.9,69.6,80.5,59.4,50.3,0,0,0,,0,0,13.9,11.4,20.4,1011.8,27.1,1.8,266.4,23.1,9,10,2023-01-03T06:58:08,2023-01-03T18:43:36,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
Lagos,04/01/2023,93.1,71.4,80.7,91.2,71.4,80.4,61.8,56.4,0,0,0,,0,0,16.1,13.5,105.2,1012.1,29.7,1.5,245,21.3,8,10,2023-01-04T06:58:33,2023-01-04T18:44:06,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,VRJU8,DNMM,65201099999"
Lagos,05/01/2023,93.2,69.8,80.7,94.2,69.8,81.7,65.4,62.2,0,0,0,,0,0,17.7,11.4,232.7,1012.3,27.9,1.5,248.3,21.5,9,10,2023-01-05T06:58:56,2023-01-05T18:44:37,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,65213099999,DNMM,65201099999"
Lagos,06/01/2023,91.7,73.4,81.7,98.7,73.4,85.5,70.7,70.4,0,0,0,,0,0,15.9,10.3,178.5,1013,22.9,2.4,252,21.7,9,30,2023-01-06T06:59:19,2023-01-06T18:45:07,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,VRJU8,DNMM,remote,65201099999,VRJT5"
Lagos,07/01/2023,96.8,76.6,83.7,102.7,76.6,89.1,74,74.4,0,0,0,,0,0,14.3,11.6,196.9,1012.5,37.5,3,262.5,22.6,9,60,2023-01-07T06:59:42,2023-01-07T18:45:37,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,08/01/2023,95,76.8,83.2,103.4,76.8,89.2,75.4,79.1,0,0,0,,0,0,17.2,9.2,208.6,1012.4,34,3.7,253.2,21.8,9,30,2023-01-08T07:00:04,2023-01-08T18:46:06,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,VRJU8,DNMM,remote,65201099999"
Lagos,09/01/2023,95,76.6,83.5,102.8,76.6,88.8,75.1,78.1,0,0,0,,0,0,14.3,15.9,222.6,1012.7,35.9,3.3,264,22.7,9,60,2023-01-09T07:00:25,2023-01-09T18:46:36,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,VRJU8,DNMM,remote,65201099999,VRJT5"
Lagos,10/01/2023,95,75.5,84,99.8,75.5,88.5,73.4,73.2,0,0,0,,0,0,13.9,11.4,248.7,1013.8,35.2,2.8,267.6,23.2,9,60,2023-01-10T07:00:45,2023-01-10T18:47:05,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,65201099999,VRJT5"
Lagos,11/01/2023,94,76.8,83.1,100.5,76.8,86.9,72.6,72.9,0,0,0,,0,0,14.8,11.4,254.6,1013.6,33.7,3.7,270,23.3,9,30,2023-01-11T07:01:04,2023-01-11T18:47:33,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,VRJU8,DNMM,65201099999,VRJT5"
Lagos,12/01/2023,95,75.2,82.8,98.7,75.2,85.9,73,75.6,0,0,0,,0,0,16.1,13.9,44.1,1011.8,29.4,3.3,265.7,22.9,9,30,2023-01-12T07:01:23,2023-01-12T18:48:02,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,remote,65201099999"
